Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,148.25,148.25,143.875,145.4375,104.855598,8164300
2000-01-04,143.531204,144.0625,139.640594,139.75,100.755112,8089800
2000-01-05,139.9375,141.531204,137.25,140.0,100.935326,12177900
2000-01-06,139.625,141.5,137.75,137.75,99.313148,6227200
2000-01-07,140.3125,145.75,140.0625,145.75,105.080872,8066500
2000-01-10,146.25,146.906204,145.031204,146.25,105.441383,5741700
2000-01-11,145.8125,146.093704,143.5,144.5,104.179672,7503700
2000-01-12,144.593704,144.593704,142.875,143.0625,103.143288,6907700
2000-01-13,144.468704,145.75,143.281204,145.0,104.540161,5158300
2000-01-14,146.531204,147.468704,145.968704,146.968704,105.95951799999999,7437300
2000-01-18,145.343704,146.625,145.1875,145.8125,105.12593100000001,6488500
2000-01-19,145.3125,147.0,145.0,147.0,105.982101,6157900
2000-01-20,146.968704,146.968704,143.8125,144.75,104.35992399999999,5800100
2000-01-21,145.5,145.5,144.0625,144.4375,104.134598,6244800
2000-01-24,145.656204,145.843704,139.406204,140.343704,101.183144,7896900
2000-01-25,140.515594,141.9375,139.0,141.9375,102.33223000000001,9942500
2000-01-26,141.0,141.546799,140.093704,140.8125,101.52108,5158100
2000-01-27,141.843704,142.218704,138.125,140.25,101.11554699999999,10922700
2000-01-28,139.4375,140.0625,135.531204,135.875,97.961365,11916200
2000-01-31,135.8125,139.671799,135.0,139.5625,100.619919,10768700
2000-02-01,139.75,141.6875,138.531204,140.9375,101.61122900000001,8419900
2000-02-02,141.281204,142.25,140.375,141.0625,101.70137,6205900
2000-02-03,140.875,143.25,140.0,143.1875,103.233391,7997500
2000-02-04,143.1875,144.0,142.125,142.593704,102.805283,4925400
2000-02-07,142.5625,142.781204,141.4375,142.375,102.647575,5845800
2000-02-08,143.968704,144.5625,143.625,144.3125,104.04450200000001,4936400
2000-02-09,144.468704,144.468704,141.265594,141.281204,101.859093,8511500
2000-02-10,141.625,142.5625,140.875,141.5625,102.061844,6690600
2000-02-11,141.843704,141.9375,138.031204,138.6875,99.989075,9849800
2000-02-14,139.781204,139.781204,138.3125,139.5,100.574867,8528800
2000-02-15,139.25,141.218704,137.796799,141.078094,101.712601,11078300
2000-02-16,140.375,140.9375,138.796799,139.0,100.214363,8845400
2000-02-17,140.4375,140.4375,138.218704,138.281204,99.696114,7584200
2000-02-18,138.875,138.875,134.625,135.3125,97.555786,9409200
2000-02-22,135.1875,136.343704,133.531204,134.968704,97.30792199999999,16415400
2000-02-23,135.625,137.468704,134.5,136.5625,98.457031,12119000
2000-02-24,136.6875,137.031204,133.093704,133.8125,96.474335,17375000
2000-02-25,135.1875,136.718704,133.125,133.328094,96.125107,10559900
2000-02-28,133.375,136.6875,132.718704,136.125,98.14157900000001,13397800
2000-02-29,136.0625,137.4375,135.75,137.4375,99.087868,8242500
2000-03-01,137.625,139.0,137.218704,138.4375,99.808846,6868000
2000-03-02,138.6875,139.125,137.343704,138.531204,99.876419,7600200
2000-03-03,140.4375,141.718704,139.718704,141.125,101.746399,12770300
2000-03-06,140.8125,141.343704,138.75,139.75,100.755112,11967100
2000-03-07,140.0,140.156204,135.218704,137.046799,98.806198,20062000
2000-03-08,136.468704,137.843704,135.031204,136.875,98.68229699999999,11808500
2000-03-09,137.25,140.875,136.125,140.875,101.566177,5500900
2000-03-10,140.1875,142.0,139.531204,140.125,101.025475,7924600
2000-03-13,136.6875,140.468704,135.6875,138.593704,99.92141,10540500
2000-03-14,139.281204,140.093704,136.156204,136.625,98.502052,8263900
2000-03-15,136.875,140.4375,136.0625,139.8125,100.800179,10300800
2000-03-16,141.625,146.843704,140.875,146.343704,105.508904,25601400
2000-03-17,145.8125,148.0,145.4375,146.9375,106.206276,10272900
2000-03-20,146.875,147.343704,144.781204,146.1875,105.664177,12502300
2000-03-21,145.531204,149.75,144.5,149.1875,107.832558,13612600
2000-03-22,149.5625,150.843704,148.6875,150.093704,108.48756399999999,8260000
2000-03-23,149.156204,153.468704,149.156204,152.656204,110.33976000000001,11654500
2000-03-24,152.875,155.75,151.718704,153.5625,110.99484299999999,11462900
2000-03-27,153.375,153.781204,151.8125,151.9375,109.82025900000001,8798600
2000-03-28,151.25,152.984299,150.593704,151.0625,109.187859,6334400
2000-03-29,151.5625,152.484299,149.656204,151.218704,109.300789,6747500
2000-03-30,150.156204,151.921799,147.125,148.6875,107.471176,9491900
2000-03-31,149.625,152.3125,148.4375,150.375,108.690903,9249100
2000-04-03,150.125,151.25,148.6875,151.25,109.323311,8508200
2000-04-04,151.75,153.0,141.390594,150.125,108.51017,19585500
2000-04-05,147.875,150.8125,147.625,149.1875,107.832558,8387200
2000-04-06,150.25,151.6875,149.0,150.484299,108.769897,6378500
2000-04-07,151.5625,152.125,150.5,151.4375,109.45882399999999,6023600
2000-04-10,151.75,153.109299,150.3125,150.843704,109.029701,9624200
2000-04-11,150.0,151.625,148.375,150.406204,108.71346299999999,9006400
2000-04-12,150.375,151.156204,146.156204,146.281204,105.731895,10779200
2000-04-13,147.468704,148.156204,143.781204,144.25,104.26374799999999,12225800
2000-04-14,142.625,142.8125,133.5,136.0,98.300629,29604000
2000-04-17,135.1875,140.75,134.6875,140.75,101.733971,23918200
2000-04-18,140.5625,144.468704,139.781204,144.468704,104.42182199999999,11069200
2000-04-19,144.5,145.125,142.531204,143.125,103.450615,6553700
2000-04-20,143.5625,143.9375,142.375,143.8125,103.947556,8537600
2000-04-24,141.5,143.3125,140.5,142.25,102.81813000000001,12893100
2000-04-25,144.625,148.156204,144.4375,148.156204,107.087135,14102000
2000-04-26,147.968704,148.75,146.0,146.484299,105.878708,7711100
2000-04-27,143.0,147.343704,143.0,146.0,105.528641,15595300
2000-04-28,147.0,147.859299,145.0625,145.093704,104.873589,8743400
2000-05-01,146.5625,148.484299,145.843704,147.0625,106.296654,7328300
2000-05-02,145.5,147.125,144.125,144.125,104.173416,9411900
2000-05-03,144.0,144.0,139.781204,140.75,101.733971,12630700
2000-05-04,142.0,142.359299,140.75,141.8125,102.5019,5963600
2000-05-05,141.0625,144.0,140.9375,143.531204,103.744202,7862400
2000-05-08,142.75,143.375,141.843704,142.453094,102.964973,5064100
2000-05-09,143.0625,143.406204,140.265594,141.3125,102.14053299999999,5620300
2000-05-10,140.5,140.968704,137.75,138.125,99.836617,10293900
2000-05-11,140.125,141.5,139.125,141.281204,102.11790500000001,7091100
2000-05-12,141.8125,143.468704,141.625,142.8125,103.224731,5960800
2000-05-15,142.75,145.609299,142.0,145.281204,105.00908700000001,4441300
2000-05-16,146.5625,147.718704,145.3125,146.6875,106.025558,8192200
2000-05-17,145.6875,146.1875,144.468704,145.156204,104.918747,5907200
2000-05-18,145.625,146.3125,143.375,143.375,103.63131700000001,4325600
